"name","type","location"
"ASP-claims-m","microsoft.web/serverfarms","centralus"
"ASP-portals-m","microsoft.web/serverfarms","centralus"
"ASP-rgtagportalucm-b57c","microsoft.web/serverfarms","centralus"
"ASR-Reports","microsoft.insights/actiongroups","global"
"AZ-ADC01","microsoft.compute/virtualmachines","centralus"
"AZ-ADC01-datadisk01","microsoft.compute/disks","centralus"
"AZ-ADC01-datadisk01-ASRReplica","microsoft.compute/disks","eastus2"
"AZ-ADC01-nic01","microsoft.network/networkinterfaces","centralus"
"AZ-ADC01-osdisk","microsoft.compute/disks","centralus"
"AZ-ADC01-osdisk-ASRReplica","microsoft.compute/disks","eastus2"
"AZ-ADC02","microsoft.compute/virtualmachines","centralus"
"AZ-ADC02-datadisk01","microsoft.compute/disks","centralus"
"AZ-ADC02-nic01","microsoft.network/networkinterfaces","centralus"
"AZ-ADC02-osdisk","microsoft.compute/disks","centralus"
"AZ-ADC03","microsoft.compute/virtualmachines","eastus2"
"AZ-ADC03-datadisk01","microsoft.compute/disks","eastus2"
"AZ-ADC03-nic01","microsoft.network/networkinterfaces","eastus2"
"AZ-ADC03-osdisk","microsoft.compute/disks","eastus2"
"AZ-DC01","microsoft.compute/virtualmachines","centralus"
"AZ-DDIGWEB","microsoft.compute/virtualmachines","centralus"
"AZ-DDIGWEB-OS_disk_20_07","microsoft.compute/disks","centralus"
"AZ-DEVDIGAPP1","microsoft.compute/virtualmachines","centralus"
"AZ-DEVDIGAPP1-OS_disk_20_07","microsoft.compute/disks","centralus"
"AZ-DEVDIGAPP2","microsoft.compute/virtualmachines","centralus"
"AZ-DEVDIGAPP3","microsoft.compute/virtualmachines","centralus"
"AZ-DEVSQL","microsoft.compute/virtualmachines","centralus"
"AZ-DEVSQL_OS_disk_20_07","microsoft.compute/disks","centralus"
"AZ-DFSR","microsoft.compute/virtualmachines","centralus"
"AZ-SMTPCUS","microsoft.saas/resources","global"
"Application Insights Smart Detection","microsoft.insights/actiongroups","global"
"ApplicationErrorsDB","microsoft.sql/servers/databases","centralus"
"ApplicationErrorsDB","microsoft.sql/servers/databases","centralus"
"ApplicationErrorsDB","microsoft.sql/servers/databases","centralus"
"ApplicationErrorsDB","microsoft.sql/servers/databases","centralus"
"Authenticatioin","microsoft.automation/automationaccounts/runbooks","centralus"
"Azure-Inventory-Report","microsoft.automation/automationaccounts/runbooks","centralus"
"AzureAutomationTutorialWithIdentity","microsoft.automation/automationaccounts/runbooks","centralus"
"AzureAutomationTutorialWithIdentity","microsoft.automation/automationaccounts/runbooks","eastus2"
"AzureAutomationTutorialWithIdentityGraphical","microsoft.automation/automationaccounts/runbooks","eastus2"
"AzureAutomationTutorialWithIdentityGraphical","microsoft.automation/automationaccounts/runbooks","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackupWindowsWorkload","microsoft.compute/virtualmachines/extensions","centralus"
"AzureBackup_AZ-ADC03_5423213562184439516","microsoft.compute/restorepointcollections","eastus2"
"AzureBackup_az-adc01_17592238021831","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-adc02_17592873137390","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-dc01_5639368751799005292","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-devdigapp1_5639368752505817934","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-devdigapp2_5639368751447431477","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-devdigapp3_5639368751434048737","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-devsql_5639368752544952090","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_az-dfsr_5639368752719465302","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlazdagent01d_5639368750639678585","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlazdagent01m_5639368751309095558","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlazdagent01p_17592461445705","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlazdagent01u_5639368751934224878","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremcec1u_5639368751943520924","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremcee1u_5639368750993799255","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremcee2u_5639368752490291404","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremenc1p_17593345963288","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremenc1u_5639368750953759947","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene1p_17593130804819","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene1u_5639368751221150436","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene2p_17593085441882","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene2u_5639368751098703791","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene3p_17593275546041","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene3u_5639368751660687166","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene4p_17593812898679","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene4u_5639368751858799880","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene5p_17593701342618","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene5u_5639368750942399387","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene6p_17592267577212","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremene6u_5639368752677900906","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremiocord01p_17593260411500","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremiocord01u_5639368751671720674","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec01p_17593701179526","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec01u_5639368750597350675","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec02p_17592556957446","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec02u_5639368752662499234","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec03p_17593773651448","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec03u_5639368752205579150","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec04p_17593638464488","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec04u_5639368750953583377","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec05p_17592571725874","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec05u_5639368752726598907","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec06p_17592633649120","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlevldremioexec06u_5639368752719221323","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlfngazagt01d_5639368752407647188","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlfngdremcec1d_5639368751992852864","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlfngdremcee1d_5639368750940140895","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlfngdremcee2d_5639368751267858226","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlfngdremcee3d_5639368751737060471","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlintmartuc01m_5639368751130535028","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlintmartuc01u_5639368751117235043","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlintmartuc02u_5639368752046803544","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmlpathlifcy01p_5639368752604460695","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremiocord01d_5639368751854840182","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremiocord01m_5639368750897083647","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec01d_5639368752473025286","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec01m_5639368752214510535","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec02d_5639368752515429089","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec02m_5639368750664755950","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec03d_5639368751969239747","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec03m_5639368751432712608","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec04d_5639368752645736303","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec04m_5639368751643925824","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec05m_5639368750805412536","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagdremioexec06m_5639368752545409359","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmltagsecuronix01p_17592706133962","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmtagscnx01p_17593058403514","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwbkrstest01p_17593079555925","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevladfir01p_17594274796552","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevladfir01u_5639368750818079126","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevlldtest01u_5639368752019221725","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevlldtest02u_5639368750714166451","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevlrptsql01d_5639368752488267964","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwevlrptsql01p_17593432400789","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwfngadfir01d_5639368750624818367","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwfngbigw01d_5639368750743851211","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagadfir01d_5639368751306849164","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagadfir01m_5639368751208774289","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdgadf01np_5639368751028339737","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdgadf01p_17592940166327","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp01m_5639368751136747085","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp01p_17593171272517","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp01u_5639368751681858786","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp02p_17593809834430","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp03p_17594147324366","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigapp04p_17594331866612","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql01m_5639368751314974656","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql01p_17593734357264","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql01u_5639368752221716808","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql02p_17593395539902","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql04p_17593637643100","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigsql09p_17593982378822","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigweb01m_5639368750829078195","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigweb01p_17592613453252","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagdigweb01u_5639368752145749104","microsoft.compute/restorepointcollections","centralus"
"AzureBackup_vmwtagjmpsrv01p_5639368751465425690","microsoft.compute/restorepointcollections","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorLinuxAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
